"","Date","measur","depth_ft","dt"
"1","5/21/2010","mw01S_ft_bgs",156.04,2010-05-21
"2","5/21/2010","mw01D_ft_bgs",156.09,2010-05-21
"3","5/28/2010","mw01S_ft_bgs",156.11,2010-05-28
"4","5/28/2010","mw01D_ft_bgs",155.66,2010-05-28
"5","7/12/2010","mw01S_ft_bgs",155.81,2010-07-12
"6","7/12/2010","mw01D_ft_bgs",155.35,2010-07-12
"7","9/24/2010","mw01S_ft_bgs",156.42,2010-09-24
"8","9/24/2010","mw01D_ft_bgs",156.08,2010-09-24
"9","12/29/2010","mw01S_ft_bgs",154.76,2010-12-29
"10","12/29/2010","mw01D_ft_bgs",154.35,2010-12-29
"11","2/16/2011","mw01S_ft_bgs",154.13,2011-02-16
"12","2/16/2011","mw01D_ft_bgs",153.75,2011-02-16
"13","4/29/2011","mw01S_ft_bgs",154.01,2011-04-29
"14","4/29/2011","mw01D_ft_bgs",153.99,2011-04-29
"15","6/16/2011","mw01S_ft_bgs",153.75,2011-06-16
"16","6/16/2011","mw01D_ft_bgs",153.78,2011-06-16
"17","8/9/2011","mw01S_ft_bgs",154.51,2011-08-09
"18","8/9/2011","mw01D_ft_bgs",154.75,2011-08-09
"19","10/14/2011","mw01S_ft_bgs",154.71,2011-10-14
"20","10/14/2011","mw01D_ft_bgs",154.86,2011-10-14
"21","12/29/2011","mw01S_ft_bgs",153.33,2011-12-29
"22","12/29/2011","mw01D_ft_bgs",152.94,2011-12-29
"23","2/15/2012","mw01S_ft_bgs",153.02,2012-02-15
"24","2/15/2012","mw01D_ft_bgs",152.58,2012-02-15
"25","4/23/2012","mw01S_ft_bgs",152.06,2012-04-23
"26","4/23/2012","mw01D_ft_bgs",151.92,2012-04-23
"27","7/17/2012","mw01S_ft_bgs",151.65,2012-07-17
"28","7/17/2012","mw01D_ft_bgs",151.61,2012-07-17
"29","1/22/2013","mw01S_ft_bgs",151.57,2013-01-22
"30","1/22/2013","mw01D_ft_bgs",151.32,2013-01-22
"31","5/1/2013","mw01S_ft_bgs",150.56,2013-05-01
"32","5/1/2013","mw01D_ft_bgs",150.22,2013-05-01
"33","7/19/2013","mw01S_ft_bgs",150.71,2013-07-19
"34","7/19/2013","mw01D_ft_bgs",151.06,2013-07-19
"35","10/22/2013","mw01S_ft_bgs",150.71,2013-10-22
"36","10/22/2013","mw01D_ft_bgs",150.45,2013-10-22
"37","1/20/2014","mw01S_ft_bgs",149.71,2014-01-20
"38","1/20/2014","mw01D_ft_bgs",149.44,2014-01-20
